iter	Passed	Remaining
420	2465	3390
421	2471	3384
422	2476	3378
423	2482	3372
424	2488	3366
425	2496	3363
426	2502	3358
427	2509	3354
428	2516	3349
429	2523	3344
430	2530	3340
431	2536	3335
432	2544	3332
433	2551	3327
434	2558	3323
435	2564	3317
436	2571	3312
437	2577	3307
438	2585	3303
439	2591	3298
440	2597	3292
441	2603	3286
442	2608	3279
443	2615	3274
444	2621	3269
445	2627	3263
446	2633	3257
447	2639	3251
448	2645	3246
449	2651	3240
450	2657	3235
451	2663	3229
452	2669	3223
453	2675	3217
454	2681	3212
455	2687	3205
456	2694	3201
457	2700	3195
458	2706	3190
459	2712	3184
460	2718	3178
461	2724	3172
462	2730	3166
463	2736	3161
464	2743	3156
465	2749	3150
466	2754	3144
467	2760	3137
468	2766	3132
469	2772	3126
470	2777	3119
471	2783	3113
472	2789	3108
473	2795	3102
474	2802	3097
475	2808	3091
476	2814	3085
477	2819	3079
478	2825	3073
479	2831	3067
480	2837	3061
481	2843	3055
482	2849	3049
483	2854	3043
484	2860	3037
485	2866	3031
486	2873	3026
487	2879	3020
488	2885	3015
489	2891	3009
490	2896	3003
491	2902	2997
492	2908	2991
493	2914	2985
494	2920	2979
495	2926	2974
496	2933	2968
497	2939	2962
498	2945	2957
499	2951	2951
500	2957	2945
501	2963	2939
502	2969	2933
503	2975	2928
504	2980	2921
505	2986	2915
506	2992	2909
507	2997	2903
508	3004	2897
509	3009	2891
510	3015	2885
511	3021	2879
512	3027	2873
513	3032	2867
514	3038	2861
515	3044	2855
516	3050	2849
517	3056	2843
518	3061	2837
519	3067	2831
520	3072	2824
521	3077	2818
522	3083	2812
523	3089	2806
524	3094	2800
525	3101	2794
526	3106	2788
527	3112	2782
528	3117	2775
529	3123	2769
530	3128	2763
531	3134	2757
532	3140	2751
533	3145	2745
534	3151	2739
535	3156	2732
536	3162	2726
537	3167	2720
538	3174	2714
539	3179	2708
540	3184	2702
541	3191	2697
542	3198	2692
543	3207	2688
544	3213	2682
545	3218	2676
546	3224	2670
547	3230	2664
548	3236	2658
549	3242	2653
550	3248	2647
551	3255	2641
552	3260	2635
553	3265	2628
554	3271	2622
555	3276	2616
556	3282	2610
557	3287	2604
558	3293	2598
559	3298	2591
560	3303	2585
561	3310	2579
562	3316	2574
563	3321	2568
564	3327	2561
565	3332	2555
566	3339	2550
567	3345	2544
568	3350	2538
569	3356	2532
570	3361	2525
571	3367	2519
572	3372	2513
573	3377	2506
574	3384	2501
575	3390	2495
576	3395	2489
577	3400	2482
578	3406	2476
579	3411	2470
580	3417	2464
581	3423	2458
582	3428	2452
583	3433	2446
584	3439	2439
585	3444	2433
586	3449	2427
587	3455	2421
588	3461	2415
589	3467	2409
590	3472	2403
591	3478	2397
592	3484	2391
593	3489	2385
594	3495	2379
595	3500	2373
596	3506	2367
597	3512	2360
598	3517	2354
599	3522	2348
600	3528	2342
601	3533	2335
602	3538	2329
603	3544	2323
604	3550	2317
605	3555	2311
606	3561	2305
607	3566	2299
608	3571	2293
609	3577	2286
610	3582	2280
611	3587	2274
612	3593	2268
613	3599	2262
614	3605	2257
615	3611	2251
616	3616	2245
617	3622	2238
618	3627	2232
619	3633	2226
620	3639	2220
621	3644	2214
622	3650	2209
623	3655	2202
624	3661	2196
625	3667	2190
626	3673	2185
627	3680	2180
628	3686	2174
629	3692	2168
630	3697	2162
631	3703	2156
632	3708	2150
633	3714	2144
634	3720	2138
635	3725	2132
636	3731	2126
637	3736	2120
638	3742	2114
639	3747	2108
640	3753	2102
641	3758	2095
642	3763	2089
643	3769	2083
644	3774	2077
645	3779	2071
646	3785	2065
647	3790	2059
648	3796	2053
649	3802	2047
650	3807	2041
651	3813	2035
652	3818	2029
653	3824	2023
654	3829	2017
655	3835	2011
656	3841	2005
657	3847	1999
658	3852	1993
659	3858	1987
660	3863	1981
661	3869	1975
662	3874	1969
663	3880	1963
664	3885	1957
665	3891	1951
666	3896	1945
667	3902	1939
668	3907	1933
669	3913	1927
670	3918	1921
671	3924	1915
672	3929	1909
673	3934	1903
674	3940	1897
675	3945	1891
676	3951	1885
677	3957	1879
678	3963	1873
679	3969	1867
680	3974	1861
681	3980	1855
682	3985	1849
683	3990	1843
684	3997	1838
685	4003	1832
686	4008	1826
687	4014	1820
688	4019	1814
689	4025	1808
690	4030	1802
691	4054	1804
692	4066	1801
693	4078	1798
694	4091	1795
695	4101	1791
696	4112	1787
697	4118	1782
698	4124	1776
699	4130	1770
700	4139	1765
701	4151	1762
702	4157	1756
703	4163	1750
704	4169	1744
705	4174	1738
706	4181	1733
707	4190	1728
708	4197	1722
709	4204	1717
710	4211	1711
711	4217	1706
712	4225	1700
713	4231	1694
714	4238	1689
715	4244	1683
716	4250	1677
717	4257	1672
718	4263	1666
719	4269	1660
720	4275	1654
721	4280	1648
722	4287	1642
723	4293	1636
724	4299	1630
725	4305	1625
726	4312	1619
727	4318	1613
728	4324	1607
729	4330	1601
730	4336	1595
731	4341	1589
732	4348	1583
733	4353	1577
734	4360	1572
735	4366	1566
736	4372	1560
737	4378	1554
738	4384	1548
739	4391	1542
740	4397	1537
741	4404	1531
742	4409	1525
743	4415	1519
744	4421	1513
745	4426	1507
746	4432	1501
747	4439	1495
748	4444	1489
749	4450	1483
750	4456	1477
751	4463	1471
752	4468	1465
753	4474	1459
754	4481	1454
755	4486	1448
756	4492	1442
757	4498	1436
758	4503	1430
759	4509	1424
760	4516	1418
761	4521	1412
762	4527	1406
763	4533	1400
764	4539	1394
765	4545	1388
766	4551	1382
767	4557	1376
768	4563	1370
769	4568	1364
770	4574	1358
771	4580	1352
772	4587	1347
773	4592	1341
774	4598	1335
775	4604	1329
776	4610	1323
777	4616	1317
778	4622	1311
779	4627	1305
780	4634	1299
781	4640	1293
782	4647	1287
783	4654	1282
784	4659	1276
785	4666	1270
786	4672	1264
787	4678	1258
788	4684	1252
789	4690	1246
790	4697	1241
791	4703	1235
792	4710	1229
793	4716	1223
794	4722	1217
795	4730	1212
796	4737	1206
797	4744	1201
798	4750	1195
799	4757	1189
800	4763	1183
801	4770	1177
802	4778	1172
803	4784	1166
804	4790	1160
805	4796	1154
806	4805	1149
807	4812	1143
808	4818	1137
809	4824	1131
810	4832	1126
811	4838	1120
812	4846	1114
813	4852	1108
814	4859	1103
815	4866	1097
816	4872	1091
817	4880	1085
818	4887	1080
819	4894	1074
820	4900	1068
821	4906	1062
822	4913	1056
823	4920	1050
824	4926	1045
825	4933	1039
826	4940	1033
827	4947	1027
828	4954	1021
829	4960	1015
830	4966	1010
831	4973	1004
832	4980	998
833	4987	992
834	4993	986
835	5000	980
836	5006	974
837	5014	969
838	5020	963
839	5027	957
840	5034	951
841	5040	945
842	5048	940
843	5054	934
844	5062	928
845	5068	922
846	5074	916
847	5080	910
848	5088	905
849	5095	899
850	5101	893
851	5109	887
852	5115	881
853	5122	875
854	5129	869
855	5136	864
856	5143	858
857	5150	852
858	5159	846
859	5170	841
860	5181	836
861	5190	830
862	5198	825
863	5208	819
864	5215	813
865	5224	808
866	5231	802
867	5239	796
868	5246	790
869	5255	785
870	5261	779
871	5269	773
872	5275	767
873	5283	761
874	5291	755
875	5305	750
876	5313	745
877	5321	739
878	5332	733
879	5340	728
880	5349	722
881	5369	718
882	5392	714
883	5401	708
884	5410	703
885	5417	697
886	5428	691
887	5436	685
888	5445	679
889	5452	673
890	5459	667
891	5465	661
892	5472	655
893	5479	649
894	5486	643
895	5492	637
896	5499	631
897	5506	625
898	5513	619
899	5520	613
900	5527	607
901	5534	601
902	5541	595
903	5548	589
